"","WY","WinterRunLAD_Model","WinterRunGenetic_Salvage","Steelhead_Salvage","Longfin_Salvage","DeltaSmelt_Salvage","onramp_date"
"1",1994,NA,NA,1994-02-07,1993-12-04,1993-12-01,1993-12-01
"2",1995,NA,NA,1995-01-14,1994-12-19,1994-12-14,1994-12-14
"3",1996,NA,1996-01-09,1996-01-16,1996-01-09,1996-01-03,1996-01-03
"4",1997,NA,1996-12-12,1996-12-18,1997-02-09,1996-11-24,1996-11-24
"5",1998,NA,1997-11-19,1998-01-17,1997-12-27,1997-12-03,1997-11-19
"6",1999,NA,1998-10-25,1999-02-07,1999-02-05,1998-12-16,1998-10-25
"7",2000,NA,1999-11-22,1999-11-29,2000-01-14,1999-11-24,1999-11-22
"8",2001,NA,2000-11-06,2000-11-07,2000-10-30,2000-10-14,2000-10-14
"9",2002,NA,2001-12-20,2002-01-16,2001-12-28,2001-12-11,2001-12-11
"10",2003,NA,2002-12-23,2003-01-05,2002-12-21,2002-12-18,2002-12-18
"11",2004,NA,2003-12-26,2004-01-11,2004-01-06,2003-12-25,2003-12-25
"12",2005,2005-01-02,NA,2004-12-27,2005-01-11,2005-01-04,2004-12-27
"13",2006,2005-12-16,2005-12-20,2006-01-11,NA,2006-01-02,2005-12-16
"14",2007,2007-01-02,2006-12-30,2007-02-01,2007-01-26,2007-02-20,2006-12-30
"15",2008,2008-01-14,2008-01-26,2008-02-01,2007-12-18,2008-01-11,2007-12-18
"16",2009,2009-01-13,2009-02-23,2009-02-24,2009-02-27,2009-02-11,2009-01-13
"17",2010,2010-01-25,2009-12-08,2010-02-03,2010-04-19,2009-12-02,2009-12-02
"18",2011,2010-12-31,2010-12-06,2011-02-12,2011-01-14,2011-01-15,2010-12-06
"19",2012,2012-01-24,2012-02-14,2012-03-21,2012-02-29,2012-01-18,2012-01-18
"20",2013,2012-12-14,2012-12-13,2013-02-03,2013-01-20,2012-12-12,2012-12-12
"21",2014,2014-03-07,2014-03-03,2014-03-20,2014-02-28,2014-04-23,2014-02-28
"22",2015,2014-12-26,NA,2015-04-28,2015-03-26,2015-01-02,2014-12-26
"23",2016,2015-12-30,2016-01-28,2016-03-16,2016-03-09,2016-01-21,2015-12-30
"24",2017,2016-12-26,NA,2017-05-24,NA,2017-01-10,2016-12-26
"25",2018,2018-02-05,2018-03-06,2018-03-16,2018-03-30,2018-03-09,2018-02-05
"26",2019,2019-01-01,2019-01-18,2019-02-09,2019-02-15,2019-02-25,2019-01-01
"27",2020,2020-01-20,2020-03-06,2020-03-26,2020-03-17,NA,2020-01-20
"28",2021,NA,2021-03-08,NA,2021-03-03,NA,2021-03-03
"29",2022,NA,NA,2022-04-15,2022-03-08,2022-01-16,2022-01-16
"30",2023,2023-01-11,NA,NA,NA,NA,2023-01-11
